video_id,f1,iou,precision,recall,fla,vlm_threashold,temporal_filter,positive_prompt
vid1,0.8276764154434204,0.7060136795043945,0.7829925417900085,0.8777690529823303,1.0,0.12,True,white steam
vid10,0.7774119973182678,0.6358739733695984,0.9125282168388367,0.6771479845046997,1.0,0.12,True,white steam
vid11,0.8523061275482178,0.7426249384880066,0.87154221534729,0.8339008092880249,1.0,0.12,True,white steam
vid11_brightbats,0.8344553112983704,0.7159359455108643,0.8793252110481262,0.7939422726631165,1.0,0.12,True,white steam
vid12,0.7296478748321533,0.5743666291236877,0.6881648898124695,0.776452898979187,1.0,0.12,True,white steam
vid13,0.8411392569541931,0.7258328795433044,0.9444431066513062,0.7582061290740967,1.0,0.12,True,white steam
vid15,0.9193049669265747,0.8506608009338379,0.9665780663490295,0.8764402866363525,1.0,0.12,True,white steam
vid15_crowd,0.9190446138381958,0.8502150774002075,0.9721142053604126,0.8714693784713745,1.0,0.12,True,white steam
vid16,0.8365896940231323,0.7190840244293213,0.8694349527359009,0.8061357736587524,1.0,0.12,True,white steam
vid17,0.8061425089836121,0.6752417683601379,0.931649923324585,0.7104359269142151,1.0,0.12,True,white steam
vid18,0.8169779777526855,0.6905855536460876,0.7320314049720764,0.924227237701416,1.0,0.12,True,white steam
vid19,0.8100587129592896,0.6807551980018616,0.7600435018539429,0.8671202659606934,1.0,0.12,True,white steam
vid2,0.8942854404449463,0.808785080909729,0.8872193694114685,0.9014649391174316,1.0,0.12,True,white steam
vid20,0.8424742221832275,0.7278231978416443,0.9045411348342896,0.7883780002593994,1.0,0.12,True,white steam
vid21,0.8270846009254456,0.7051528096199036,0.7905496954917908,0.8671599626541138,1.0,0.12,True,white steam
vid22,0.8228088021278381,0.6989593505859375,0.7833015322685242,0.8665129542350769,1.0,0.12,True,white steam
vid23,0.6856581568717957,0.5216741561889648,0.6017858386039734,0.7966955304145813,1.0,0.12,True,white steam
vid25,0.6861692070960999,0.5222660303115845,0.6130648851394653,0.7790684103965759,1.0,0.12,True,white steam
vid2_human,0.8712887167930603,0.7719323039054871,0.9249127507209778,0.8235419392585754,1.0,0.12,True,white steam
vid3,0.8612711429595947,0.7563443183898926,0.817528247833252,0.909959614276886,1.0,0.12,True,white steam
vid3_bats,0.8457210063934326,0.7326834201812744,0.8201642632484436,0.8729218244552612,1.0,0.12,True,white steam
vid4,0.8083198070526123,0.6783026456832886,0.8682088255882263,0.7561599612236023,1.0,0.12,True,white steam
vid5,0.8116039037704468,0.682940661907196,0.7715917825698853,0.85599285364151,1.0,0.12,True,white steam
